,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
26314,Mungindi,16872,Valid,"Iron, IAB-sLM",51300.0,Found,1897.0,-28.93333,148.95,"(-28.933330, 148.950000)"
26315,Muonionalusta,16873,Valid,"Iron, IVA",230000.0,Found,1906.0,67.8,23.1,"(67.800000, 23.100000)"
26317,Murfreesboro,16877,Valid,"Iron, ungrouped",8600.0,Found,1847.0,35.83333,-86.41667,"(35.833330, -86.416670)"
26318,Murnpeowie,16878,Valid,"Iron, IC",1143000.0,Found,1909.0,-29.58333,139.9,"(-29.583330, 139.900000)"
26321,Murphy,16881,Valid,"Iron, IIAB",7700.0,Found,1899.0,35.1,-84.03333,"(35.100000, -84.033330)"
26323,Muslyumovo,16884,Valid,H4,10580.0,Found,1964.0,55.3,53.2,"(55.300000, 53.200000)"
26324,Mut,30757,Valid,H5,1800.0,Found,2003.0,25.59983,28.45217,"(25.599830, 28.452170)"
26325,Myersville,16886,Valid,OC,5397.0,Found,1969.0,28.95,-97.40278,"(28.950000, -97.402780)"
26327,Nagy-Vázsony,16894,Valid,"Iron, IAB-sLL",2000.0,Found,1890.0,46.98333,17.7,"(46.983330, 17.700000)"
26328,Nahuel Niyeu,50766,Valid,H5,10540.0,Found,2005.0,-40.53333,-66.63333,"(-40.533330, -66.633330)"
26330,Naiman,16896,Valid,L6,1050.0,Found,1982.0,42.83333,120.66667,"(42.833330, 120.666670)"
26331,Nainital,16897,Valid,L,5000.0,Found,1980.0,29.36667,79.43333,"(29.366670, 79.433330)"
26333,Namib Desert,16901,Valid,H4,1000.0,Found,1979.0,-24.75,15.36667,"(-24.750000, 15.366670)"
26334,Nantan,16906,Valid,"Iron, IAB-MG",9500000.0,Found,1958.0,25.1,107.7,"(25.100000, 107.700000)"
26335,Nardoo (no. 1),16910,Valid,H5,3180.0,Found,1944.0,-29.53333,143.98333,"(-29.533330, 143.983330)"
26336,Nardoo (no. 2),16911,Valid,L6,1694.0,Found,1944.0,-29.5,144.06667,"(-29.500000, 144.066670)"
26337,Naretha,16913,Valid,L4,5500.0,Found,1915.0,-31.0,124.83333,"(-31.000000, 124.833330)"
26338,Narraburra,16915,Valid,"Iron, IIIAB",32200.0,Found,1855.0,-34.25,147.7,"(-34.250000, 147.700000)"
26339,Naruna (a),16916,Valid,H4,672.3,Found,1935.0,30.95,-98.26667,"(30.950000, -98.266670)"
26340,Naruna (b),16917,Valid,H4,513.3,Found,1942.0,30.95,-98.28333,"(30.950000, -98.283330)"
